bytes-length,msec,bandwidth,processor
4096,0.136756896973,28.5634588563,5
8192,0.242757797241,32.1822824592,5
16384,0.817358493805,19.1164588347,5
32768,1.53379440308,20.3743082758,5
65536,2.87464857101,21.7417880677,5
131072,7.96369314194,15.6962351226,5
262144,14.7182941437,16.9856640695,5
524288,5.90174198151,84.7207488173,5
1048576,10.6341004372,94.0371031766,5
2097152,20.965898037,95.393004224,5
4194304,42.2330975533,94.7124466766,5
8388608,177.297902107,45.1217972966,5
16777216,248.111701012,64.4870835787,5
33554432,499.196302891,64.103038854,5
67108864,994.502747059,64.3537689456,5
16,0.0488996505737,0.3120429059,6
32,0.0403046607971,0.757172434191,6
64,0.0360488891602,1.69312169312,6
128,0.0358939170837,3.4008635005,6
256,0.0444412231445,5.49356223176,6
512,0.0634551048279,7.69490888597,6
1024,0.115299224854,8.46980976013,6
2048,0.143849849701,13.5775254827,6
4096,0.13689994812,28.5336119819,6
8192,0.242853164673,32.1696446102,6
16384,0.81775188446,19.1072626024,6
32768,1.53380632401,20.3741499242,6
65536,2.87485122681,21.7402554321,6
131072,7.9642534256,15.6951308955,6
262144,14.7195458412,16.9842196693,6
524288,5.90310096741,84.7012447798,6
1048576,10.6357097626,94.0228741028,6
2097152,20.9666967392,95.3893703371,6
4194304,42.2350049019,94.708169427,6
8388608,177.299892902,45.1212906508,6
16777216,248.115241528,64.4861633711,6
33554432,499.196994305,64.102950068,6
67108864,994.502747059,64.3537689456,6
16,0.0492930412292,0.309552599758,7
32,0.0399589538574,0.763723150358,7
64,0.0337481498718,1.80854821618,7
128,0.0353455543518,3.45362563238,7
256,0.0393986701965,6.19667170953,7
512,0.0362038612366,13.4869937438,7
1024,0.115597248077,8.44797360008,7
2048,0.81125497818,2.40753530337,7
4096,0.650501251221,6.00498460636,7
8192,0.57680606842,13.5444136734,7
16384,0.990748405457,15.7709060282,7
32768,1.88670158386,16.5632976976,7
65536,3.57249975204,17.4947527888,7
131072,8.30985307693,15.0423838837,7
262144,15.0858521461,16.5718182558,7
524288,5.90310096741,84.7012447798,7
1048576,10.7238411903,93.2501686896,7
2097152,20.9672570229,95.3868213577,7
4194304,42.234647274,94.7089713819,7
8388608,177.327990532,45.1141411799,7
16777216,248.154997826,64.4758322024,7
33554432,499.241399765,64.0972483754,7
67108864,994.534993172,64.3516823836,7
16,0.0410914421082,0.371337394836,8
32,0.0473976135254,0.643863179074,8
64,0.0331044197083,1.84371624055,8
128,0.0366926193237,3.32683560754,8
256,0.0465512275696,5.24455825864,8
512,0.0630021095276,7.75023651845,8
1024,0.115251541138,8.47331402565,8
2048,0.804495811462,2.42776279525,8
4096,0.644397735596,6.06186177298,8
8192,0.576293468475,13.5564611216,8
16384,0.990200042725,15.7796397958,8
